lang,word,avg_entropy,count
latin,English,0.001079098844856,1965
sign,|,0.00182072320624,3922
latin,endoftext,0.00182072320624,1961
sign,<,0.0025528345075487,1963
sign,>,0.0036635165978746,1963
latin,translate,0.0089378294869823,1960
latin,will,0.0401639137124793,2123
latin,maintaining,0.0645051100705511,1113
latin,than,0.1027501356809528,73
latin,Chinese,0.1034071434845739,2091
latin,context,0.1301007036824623,1086
latin,th,0.1353664015753184,55
latin,time,0.1459588598810828,105
latin,of,0.1523156687203911,1719
latin,sentence,0.1725232992748356,1901
latin,the,0.1834556372478624,6627
latin,earthquake,0.1867828253909804,59
latin,I,0.1897694794085345,2487
latin,countries,0.2015547394986032,52
latin,market,0.2023338506513429,77
latin,order,0.20841027656871,50
latin,while,0.2114043891522469,1135
latin,me,0.2114175679993431,53
sign,:,0.2116081647644352,116
sign,.,0.2236825067722807,3904
latin,industry,0.2273595605893206,72
latin,but,0.2273686177034649,190
latin,no,0.229943675887093,82
latin,Amazon,0.2336883546864928,78
latin,and,0.2353784394369529,2885
latin,first,0.2397760970329727,63
latin,meaning,0.2426898847315293,1115
latin,quality,0.243940546260881,53
latin,given,0.2474499604291104,1637
latin,customer,0.2483726357726273,61
latin,service,0.2612135191625813,106
sign,;,0.2648574290206953,72
latin,drug,0.2725795098138042,50
latin,not,0.2951055180048108,268
latin,or,0.2991020262212025,128
sign,",",0.3111238203296613,3273
latin,that,0.3134415487046842,479
latin,as,0.3151137252848635,259
latin,by,0.3198896645328659,178
latin,be,0.3226111876764588,260
latin,to,0.3248770754559484,2660
sign,/,0.3249958724240644,56
sign,(,0.3252347967038486,151
latin,China,0.3300773910793093,126
latin,development,0.3386419468477911,66
latin,number,0.3589327415687224,67
latin,original,0.3688133842590713,1109
latin,people,0.3746171115491944,111
latin,out,0.3783026799243539,64
latin,between,0.3815280024940786,66
latin,such,0.3834261330901501,73
latin,other,0.3852089008027586,68
sign,),0.3887889578834142,143
latin,This,0.3951880555914741,71
latin,been,0.4069734093743086,108
latin,my,0.4121156541028364,62
latin,bought,0.423276217524997,54
latin,may,0.4233896823495562,58
latin,is,0.4256625195145054,845
latin,use,0.4276249174197821,91
latin,used,0.4296438015793798,63
latin,products,0.442460896378578,73
latin,can,0.4437739192431078,122
latin,on,0.4484323324878301,358
latin,are,0.4521797380669551,263
latin,only,0.4553978632615886,67
latin,all,0.457921190530177,85
latin,their,0.4585127522265846,85
latin,for,0.467298502778903,416
latin,new,0.4706863309863578,94
latin,two,0.4789514206733678,82
latin,from,0.4795934509855836,220
sign,"""",0.4802406798851351,578
latin,in,0.4855307202048128,762
sign,!,0.4894285583133368,76
sign,?,0.4928534237564534,67
latin,you,0.4981348196061706,94
latin,more,0.4981685861991454,110
latin,its,0.5038726624188034,67
latin,this,0.506129467742332,228
latin,text,0.5071128623429886,465
latin,with,0.5198881745346702,293
latin,it,0.5200346550071616,582
latin,some,0.5287564672283994,52
latin,a,0.5317130281542274,833
latin,also,0.5341295349000574,160
latin,product,0.5435610147272991,84
latin,into,0.5514247644603656,501
latin,has,0.5526340399034476,216
latin,if,0.5546534722084066,61
latin,they,0.5559833654501691,85
latin,still,0.5750124275502978,70
latin,one,0.5903513405293779,80
latin,was,0.5976937826082903,267
latin,so,0.6024829963851911,83
