lang,word,avg_entropy,count
sign,0,0.0011998645944493,65
zh,6,0.0153154304378618,102
latin,endoftext,0.0233510039458958,1961
sign,<,0.0233510039458958,1961
sign,|,0.0233510039458958,3922
sign,>,0.0328765237174747,2047
zh,3,0.0582706907681386,296
zh,4,0.0588059731735185,213
zh,7,0.0663444285447667,64
zh,5,0.0707516135102045,193
zh,年,0.0859793805038428,84
zh,0,0.0885024988971101,76
zh,地震,0.0948154350647734,69
latin,million,0.095173587836918,54
latin,days,0.101162029099393,61
zh,2,0.1129712982505258,332
latin,T,0.1198111941036376,65
latin,years,0.1328250951234167,80
latin,earthquake,0.1580364229893388,115
latin,year,0.1697151117970937,96
latin,than,0.1724156164222494,107
latin,Brunei,0.1797698218016884,54
latin,same,0.1827144797152994,145
latin,pension,0.183599016513668,63
zh,不,0.1899357709511274,88
latin,English,0.1905702433853003,2441
latin,each,0.2079357472686473,850
latin,finally,0.2091732726691932,61
latin,countries,0.2187430806140143,89
latin,substances,0.2189665057367165,56
zh,为,0.2246753708019099,77
zh,中国,0.2284498062806549,53
zh,了,0.2357744748128087,283
latin,industry,0.2363596586503848,87
zh,成,0.2367321126410927,135
zh,也,0.2401593440977573,96
zh,很,0.2404257078719399,76
latin,form,0.2649958250880244,307
latin,th,0.2655217957146935,104
latin,Party,0.2683678831319277,54
zh,亚马逊,0.2710760623972485,69
zh,有,0.2723029506287275,80
latin,time,0.2741276594179108,166
sign,-,0.2803636016364927,1178
zh,中文翻译,0.2811744334035073,132
latin,out,0.2851397639089555,60
sign,+,0.2911894189844862,141
latin,book,0.2950994427872556,67
latin,Singapore,0.2951515980949822,59
latin,market,0.2979559429774667,128
latin,to,0.302752997415034,3213
latin,second,0.314030077260395,80
sign,、,0.3221820631129611,105
latin,management,0.3325666574705346,51
latin,of,0.3366015253636798,2655
latin,be,0.3398619847241809,632
latin,drug,0.3414962119948858,109
sign,(,0.3507990122011646,1750
zh,使用,0.3513968789700357,64
zh,产品,0.3520749454721226,50
latin,C,0.353079295176534,121
latin,order,0.3695158742385149,98
latin,Amazon,0.3704866327963883,131
latin,part,0.3716305110715373,694
sign,/,0.3723834705590791,121
zh,好,0.3736971620259521,61
latin,day,0.3754730839459808,50
latin,phone,0.3761204930761939,51
latin,down,0.3763302332279453,836
latin,service,0.3792602080630854,186
zh,没有,0.3815911593730062,62
zh,还,0.3846056022827854,56
latin,bad,0.3849356801226132,71
zh,部分,0.3900093037111965,78
latin,or,0.3914141640887416,740
sign,),0.3960432969063321,1750
zh,英文,0.3960996702928096,250
latin,me,0.4047941376931001,57
latin,on,0.4078471221907372,642
latin,people,0.414974026483593,182
latin,these,0.4151495201738751,289
sign,，,0.4187703900558214,888
latin,up,0.4228516875637502,63
latin,China's,0.4287376358102147,65
latin,by,0.4326301552561599,269
latin,China,0.4382203467331816,220
latin,been,0.4399416494925921,137
latin,buy,0.4426708432229648,53
latin,between,0.4436209358061949,110
latin,development,0.4471931587107643,88
sign,",",0.4552065626555994,7289
latin,content,0.4591952016811245,79
latin,don't,0.4614591496471709,58
sign,"""",0.4658978100287982,10540
latin,positions,0.4701106003940698,55
latin,customer,0.4701534432642802,96
latin,rescue,0.4701621944698797,51
latin,but,0.4789740474042215,287
sign,;,0.4809767782859634,93
latin,all,0.4814815318251122,126
