lang,word,avg_entropy,count
sign,0,0.0007043785295736,57
latin,endoftext,0.0077106803094945,1962
sign,|,0.0078886588562649,3925
sign,<,0.0079642078082906,1963
sign,>,0.0083448094264506,1963
latin,English,0.0383140573383469,1530
zh,的,0.0752880545870387,72
latin,than,0.0799823978630929,99
latin,days,0.0823803433067606,52
latin,countries,0.1142143836934902,62
latin,translate,0.1160355940831059,1240
latin,to,0.1210462633119326,3363
latin,earthquake,0.1345931163235241,62
latin,th,0.1403809380260371,67
latin,industry,0.1501580583631881,81
latin,time,0.1524737376369808,123
latin,translation,0.1706213123099647,242
latin,year,0.1741472971524534,57
latin,C,0.1866168253086642,53
latin,drug,0.1984400921755216,55
sign,:,0.2029520051679254,148
latin,yuan,0.208322600085271,50
latin,market,0.2084637280165444,87
latin,be,0.2140695949004122,418
sign,;,0.2226651233235507,76
latin,of,0.2231082658010237,1710
latin,service,0.2233511587946816,132
latin,no,0.2281437849243124,83
latin,content,0.2389759029138738,55
latin,order,0.2502932330396577,70
sign,.,0.2562977468476307,4122
latin,China,0.2638285387473862,143
latin,between,0.2663164089066358,79
latin,other,0.2716392791110935,77
latin,but,0.2732561658694865,258
sign,),0.2925039393382497,180
latin,Amazon,0.293130731563478,119
sign,",",0.2974248790913038,3787
latin,my,0.3003792401749586,53
latin,out,0.3045171999305342,67
latin,from,0.3082696763083036,855
latin,development,0.3097888031746757,74
sign,(,0.3191512787232126,185
latin,up,0.3211756027589532,56
sign,!,0.3230990376466742,65
latin,by,0.3248829094204446,208
latin,people,0.3329981477612082,116
latin,According,0.3336784471724128,52
latin,number,0.3379723821052594,79
latin,on,0.3486942685237194,402
latin,use,0.3531956817718833,106
latin,packaging,0.359677182706946,56
latin,not,0.3611857180506264,341
latin,customer,0.363828362351258,87
latin,products,0.3642562961737368,95
latin,translated,0.3667830087628424,136
latin,book,0.3690943913714547,57
latin,quality,0.3699736999763644,80
latin,been,0.3713564359065693,124
latin,as,0.3748950871922152,316
latin,first,0.3759651656684178,90
latin,or,0.3761022965087563,258
sign,/,0.3763003723200457,67
latin,you,0.3776291692232018,79
latin,GB,0.3872503840167545,56
latin,and,0.3873911688945976,2286
sign,?,0.3902994932553459,57
sign,"""",0.3919625594050191,1840
latin,such,0.3926808056436848,81
latin,the,0.3958406396898695,4248
latin,them,0.3984203661843665,58
latin,some,0.4030524845103434,67
latin,two,0.4053254284927377,101
latin,price,0.4117141669523276,62
latin,this,0.4124950275154179,236
latin,for,0.4138457089520506,720
latin,This,0.4163648605547981,84
latin,should,0.4173648397199082,53
latin,were,0.4277508034189955,104
latin,may,0.42820253629543,70
latin,new,0.4345860424641906,109
latin,into,0.4348343286076492,826
latin,that,0.4351373825824515,642
latin,United,0.4403652951493859,50
latin,only,0.4499363650527848,84
latin,experience,0.4519456084058822,66
latin,it,0.460671401384526,732
latin,will,0.4613028943272864,214
latin,need,0.4649852469123693,126
latin,if,0.4657677970780264,82
latin,it's,0.4746025720967177,65
latin,characters,0.4778765027896461,89
latin,Chinese,0.4827367775101842,1713
latin,more,0.483692303498643,117
latin,bought,0.4867677007889564,69
latin,are,0.497649022049526,361
latin,all,0.4990834487009942,101
latin,one,0.4997860111376736,92
latin,like,0.5008025786884429,54
latin,said,0.5060081320407335,88
