lang,word,avg_entropy,count
ja,それ,2.3258594092650293,195
ja,その,2.246015794736018,139
ja,すべて,1.9356068674428963,81
ja,あなた,1.891439188610424,110
ja,これ,1.863533668282653,119
ja,もの,1.8290096879896955,117
latin,First,1.818384032300178,94
ja,また,1.8179284180655624,66
ja,この,1.8091438067456087,135
ja,私,1.790303866218098,440
ja,何,1.7901338958559003,74
ja,より,1.7801042262683895,68
ja,そして,1.744432319613064,68
ja,しれ,1.6765028672679416,53
ja,こと,1.6266668319034785,374
ja,よう,1.619542306920482,177
ja,ら,1.579307627925664,160
latin,expressing,1.5719457235601213,81
ja,つい,1.5597190181355154,63
ja,見,1.5552759043299236,65
latin,The,1.5482524546211982,653
ja,ため,1.4741112402507237,140
latin,asking,1.458336320029546,73
ja,彼,1.4579082678493889,212
latin,identify,1.4352980595763012,93
ja,性,1.4273384583718849,66
ja,なる,1.4212027713656423,53
ja,たち,1.4185671093307155,125
ja,だ,1.4135721294225143,118
ja,人,1.403222173452377,66
ja,だけ,1.3923788879192986,59
ja,も,1.3902420817893186,297
ja,ある,1.360087015579834,162
ja,でき,1.3164043645648396,102
ja,ない,1.2967986016241315,213
ja,に,1.293517828235197,1725
ja,で,1.2844161956488065,853
ja,あり,1.2515876961332797,190
ja,しかし,1.24541130037077,62
ja,必要,1.2209193583694289,80
ja,「,1.214412381241738,227
latin,their,1.2086420006448448,176
ja,と,1.20438774842194,810
ja,する,1.2008195639101429,335
ja,つ,1.194994739458994,76
ja,か,1.18673578513876,304
ja,や,1.1705647739125231,51
ja,です,1.1465474748519555,470
ja,の,1.141827468894372,2263
ja,て,1.1364599018638404,1189
ja,時間,1.1358550232447062,60
ja,いる,1.1256697816091754,262
ja,者,1.124098917436121,84
ja,1,1.115315272511162,83
ja,し,1.106265353559352,850
ja,を,1.1002586294139358,1656
ja,から,1.0998616199940443,245
latin,each,1.092126445586865,65
latin,that,1.087698386956217,118
latin,user,1.0870891168642498,629
ja,（,1.067810887992382,50
ja,的,1.0514642875763327,153
ja,が,1.046661067585659,1378
ja,ば,1.0443758818531228,62
ja,れ,1.0417502103111065,213
latin,words,1.041550815426584,58
ja,でし,1.0379182729477396,67
ja,な,1.0119523660644092,391
ja,い,0.9893551541658936,464
ja,は,0.9889239913748084,1809
ja,さ,0.9847473136785976,203
ja,た,0.976185015772377,1327
ja,ん,0.9736273887590752,188
ja,ます,0.9735706928207076,611
ja,ませ,0.966334781142654,185
ja,2,0.9068468877765524,64
ja,まし,0.90555475605817,317
latin,key,0.9052408471995708,102
latin,combine,0.9021497693445,56
latin,me,0.8521105725554806,341
latin,I,0.8508899859804416,509
latin,is,0.8114165668094906,309
ja,彼女,0.8103948200379298,56
sign,！,0.8088517331385187,84
latin,or,0.7976314367149219,60
latin,sentence,0.7736565525368105,328
ja,・,0.7724627763256104,157
latin,a,0.769801531794177,436
latin,they,0.7620596725827343,107
sign,、,0.739749956351944,2633
latin,and,0.7101505365118576,368
ja,日,0.705923580362175,65
ja,」,0.6883757348109008,226
latin,text,0.6850004671282188,331
latin,about,0.6449266074225761,100
ja,年,0.6393039188078922,97
latin,phrase,0.6335436629941282,115
ja,なかっ,0.6253848973830263,58
latin,need,0.6129857246677054,262
latin,in,0.5764987379722015,218
