lang,word,avg_entropy,count
sign,0,0.0040198576005264,69
sign,>,0.0054171438145537,1960
sign,|,0.0054171438145537,3920
sign,<,0.0054171438145537,1960
latin,endoftext,0.0054171438145537,1960
latin,English,0.0098757143682129,1129
sign,，,0.0427908685701599,59
latin,translate,0.0612470885079121,994
zh,的,0.0634331790635365,90
latin,translation,0.0967328371357564,551
latin,years,0.1112071565794246,50
latin,earthquake,0.136506197747127,57
latin,to,0.1424016935204025,3091
latin,than,0.1516663388950224,90
sign,+,0.2185326302648315,61
latin,countries,0.2194475443457728,60
latin,th,0.2331831372034093,96
latin,market,0.2557455931989174,97
latin,industry,0.2588063426788293,85
latin,time,0.2853907948907744,133
latin,drug,0.2858573551018101,60
sign,/,0.289330717241558,73
latin,of,0.2941612266663027,2163
latin,C,0.3090193546336195,68
latin,China,0.3136683330046566,160
latin,content,0.3493204807958818,64
latin,out,0.3531123453320866,58
latin,service,0.3545571431401103,176
latin,no,0.3563864923201106,91
latin,be,0.3645590838035257,316
latin,order,0.3646594353063971,88
latin,development,0.3769348044798503,73
latin,book,0.3781801555470728,70
latin,number,0.3811839807965704,88
sign,;,0.3873610328619058,75
sign,:,0.3905745880067501,132
latin,data,0.3911459843953344,50
latin,between,0.398036587481277,88
sign,),0.400297438392209,188
latin,Amazon,0.4062782623795945,139
latin,but,0.4244788001588799,278
latin,GB,0.4318185361519093,68
latin,by,0.4337657671546454,226
latin,been,0.4343430290613873,144
latin,two,0.4404668577034009,91
sign,",",0.4546309637518294,3804
latin,China's,0.4591273218986596,52
sign,(,0.4636660497104306,192
latin,first,0.4723489144589506,79
sign,.,0.4818721515635107,4188
latin,This,0.489456455033749,86
latin,them,0.5035489785671472,98
latin,products,0.5044416008559185,90
latin,up,0.506009040113465,55
latin,on,0.5063606271263855,439
latin,as,0.5078512806508878,323
latin,phone,0.5097080677788814,51
latin,for,0.5123347058752922,1047
latin,use,0.51259445625531,122
latin,or,0.5130440355457351,223
latin,not,0.516328627875284,368
sign,"""",0.518593790803294,1469
latin,people,0.5223964263667698,130
latin,different,0.5274781432462288,52
latin,and,0.5296045130140477,2328
latin,into,0.5316454853234625,579
latin,quality,0.5357770996962009,108
latin,information,0.5482135939444281,52
latin,According,0.5580682089077491,51
latin,my,0.5633172924975505,57
latin,the,0.5685403554030294,4581
latin,you,0.5747659557425179,76
latin,Chinese,0.5749715296159515,1557
latin,other,0.5780528753914632,83
latin,were,0.5786370030439258,79
latin,more,0.5822266840372379,128
latin,still,0.5867353273161615,65
latin,United,0.5899956102948636,52
latin,this,0.5948577042604134,221
latin,will,0.5969111501307743,147
latin,such,0.5982592590476593,72
latin,However,0.599017384813501,53
latin,characters,0.6007223046011038,113
latin,customer,0.6009116816178299,107
latin,it,0.6036069412980466,650
latin,from,0.6101515818716304,904
latin,new,0.6148147779063732,118
latin,with,0.6193132235266141,509
latin,any,0.6365626997484456,69
latin,that,0.6426264704860841,773
latin,a,0.64507326323686,3139
latin,all,0.6510645328374635,94
latin,if,0.6521146441394887,101
latin,one,0.6580717687486212,79
latin,so,0.6604002378166963,75
latin,only,0.663318333221043,77
latin,can,0.6700964222395128,143
latin,may,0.6711167900973711,68
latin,price,0.672764450305368,74
latin,should,0.6779188238444107,69
