lang,word,avg_entropy,count
ja,それ,2.658094159986188,164
ja,その,2.575440953479954,163
ja,私,2.280773169973335,397
ja,何,2.2492337455784064,69
ja,より,2.224301394663359,76
ja,この,2.1996420014168128,147
ja,これ,2.1738540818614345,124
ja,すべて,2.1698469831393314,65
ja,また,2.1670746199496382,77
ja,あなた,2.1456946786318984,107
ja,そして,2.1275440210319427,83
latin,talking,2.0886009843261157,54
ja,もの,1.9414913272404155,115
ja,まで,1.9258681355416776,50
ja,ら,1.9050793418458565,152
ja,よう,1.844313251591701,187
ja,しかし,1.8429317303757735,69
ja,彼,1.8236235931076468,229
ja,見,1.7891624946561124,54
latin,expressing,1.736176434428172,133
latin,text,1.6994805563241244,120
ja,こと,1.6899245417039646,380
ja,つい,1.681631288692063,51
latin,statement,1.6535589638001778,68
ja,ため,1.6212260530275455,153
ja,可能,1.5932308451695876,55
ja,だけ,1.5637514113262296,50
ja,だ,1.555766844355008,102
latin,asking,1.5409610018563955,104
ja,たち,1.513833625332483,110
ja,も,1.5102254688935053,248
ja,必要,1.4985490177771938,67
latin,describing,1.4963561004918555,69
ja,でき,1.4792997743095364,111
ja,「,1.4703507913601777,189
ja,人,1.4438840348332649,63
ja,に,1.4048140886495388,1593
ja,ない,1.394544168149657,198
ja,です,1.3736260242666438,457
ja,性,1.3565465478847425,60
ja,で,1.3525119911986714,763
ja,ある,1.3374032063889991,159
ja,する,1.334900379771835,342
ja,の,1.30427867225088,2252
ja,あり,1.292780964244758,186
ja,と,1.2895830215997366,771
ja,か,1.2749565513612124,304
latin,where,1.2473619860307923,58
ja,1,1.2437994775369012,82
ja,つ,1.2391734986736531,71
ja,から,1.2306271101142598,213
ja,や,1.2207800100247066,66
ja,ください,1.218981607556343,50
ja,を,1.2162582095215944,1647
ja,し,1.208811661255896,817
ja,て,1.205999562438241,1135
ja,が,1.186361781873812,1347
ja,いる,1.185761721776409,263
latin,their,1.185295848447078,220
ja,者,1.184132707003202,74
latin,that,1.1585491202726914,173
latin,sentence,1.138299320221824,204
latin,are,1.1330468125927065,93
ja,な,1.1287269030964546,410
latin,not,1.1265422666220426,60
ja,なり,1.124337804791419,52
ja,でし,1.1233920397183947,67
ja,彼女,1.108504279127248,58
ja,ます,1.1039140366200513,613
ja,的,1.09589291441769,152
ja,は,1.0903938897449672,1787
ja,い,1.0701607170828555,463
ja,た,1.0617409929043855,1268
latin,given,1.0575343685305636,115
ja,時間,1.0540213848718187,55
ja,2,1.0518018340748172,52
latin,phrase,1.034834212371122,107
ja,ん,1.034305725493242,180
ja,れ,1.0277413701604243,217
ja,ませ,1.0223829937615878,178
ja,さ,1.0208363516220236,199
sign,！,1.0125733165691295,60
latin,they,1.0063611940995052,167
latin,They,0.9891486181705086,54
latin,something,0.9827765639415053,56
ja,・,0.98003603641475,142
latin,about,0.970798037243574,381
ja,日,0.9706833770815764,58
sign,",",0.9673892055088064,421
latin,into,0.967088265988037,198
latin,and,0.9609179950679776,547
latin,or,0.9541252628579492,61
latin,the,0.9473113883099986,919
latin,in,0.9454510829728592,199
latin,from,0.9404247225857002,279
latin,is,0.9263006943757828,526
ja,まし,0.9102358368832985,324
latin,me,0.9090010881996288,310
latin,a,0.9074003633169694,1241
sign,、,0.9035989695948492,2583
