lang,word,avg_entropy,count
latin,Japanese,0.0070433615769787,424
sign,|,0.0572637703200036,1968
latin,endoftext,0.0572637703200036,984
sign,>,0.058053086478032,991
sign,<,0.065506035025435,991
latin,English,0.0709990174937234,243
latin,translate,0.1817685881429807,317
latin,to,0.209020677863309,908
latin,translation,0.2471539567401804,326
sign,/,0.284818985180354,69
sign,。,0.3985229377401562,2030
latin,user,0.486553589555535,1004
latin,The,0.5166057900175365,1029
latin,of,0.5344889469353223,616
sign,"""",0.5884060215103423,438
latin,wants,0.6031124388738986,620
ja,なかっ,0.6580869470744801,64
latin,on,0.6582328488735822,107
sign,？,0.690229403715925,119
ja,年,0.7134383452745775,84
ja,」,0.748004560958212,195
sign,.,0.7514478489539368,1229
latin,for,0.7937894138438183,212
latin,it,0.8237828535166458,110
latin,with,0.8605350245595567,107
sign,、,0.9035989695948492,2583
latin,a,0.9074003633169694,1241
latin,me,0.9090010881996288,310
ja,まし,0.9102358368832985,324
latin,is,0.9263006943757828,526
latin,from,0.9404247225857002,279
latin,in,0.9454510829728592,199
latin,the,0.9473113883099986,919
latin,or,0.9541252628579492,61
latin,and,0.9609179950679776,547
latin,into,0.967088265988037,198
sign,",",0.9673892055088064,421
ja,日,0.9706833770815764,58
latin,about,0.970798037243574,381
ja,・,0.98003603641475,142
latin,something,0.9827765639415053,56
latin,They,0.9891486181705086,54
latin,they,1.0063611940995052,167
sign,！,1.0125733165691295,60
ja,さ,1.0208363516220236,199
ja,ませ,1.0223829937615878,178
ja,れ,1.0277413701604243,217
ja,ん,1.034305725493242,180
latin,phrase,1.034834212371122,107
ja,2,1.0518018340748172,52
ja,時間,1.0540213848718187,55
latin,given,1.0575343685305636,115
ja,た,1.0617409929043855,1268
ja,い,1.0701607170828555,463
ja,は,1.0903938897449672,1787
ja,的,1.09589291441769,152
ja,ます,1.1039140366200513,613
ja,彼女,1.108504279127248,58
ja,でし,1.1233920397183947,67
ja,なり,1.124337804791419,52
latin,not,1.1265422666220426,60
ja,な,1.1287269030964546,410
latin,are,1.1330468125927065,93
latin,sentence,1.138299320221824,204
latin,that,1.1585491202726914,173
ja,者,1.184132707003202,74
latin,their,1.185295848447078,220
ja,いる,1.185761721776409,263
ja,が,1.186361781873812,1347
ja,て,1.205999562438241,1135
ja,し,1.208811661255896,817
ja,を,1.2162582095215944,1647
ja,ください,1.218981607556343,50
ja,や,1.2207800100247066,66
ja,から,1.2306271101142598,213
ja,つ,1.2391734986736531,71
ja,1,1.2437994775369012,82
latin,where,1.2473619860307923,58
ja,か,1.2749565513612124,304
ja,と,1.2895830215997366,771
ja,あり,1.292780964244758,186
ja,の,1.30427867225088,2252
ja,する,1.334900379771835,342
ja,ある,1.3374032063889991,159
ja,で,1.3525119911986714,763
ja,性,1.3565465478847425,60
ja,です,1.3736260242666438,457
ja,ない,1.394544168149657,198
ja,に,1.4048140886495388,1593
ja,人,1.4438840348332649,63
ja,「,1.4703507913601777,189
ja,でき,1.4792997743095364,111
latin,describing,1.4963561004918555,69
ja,必要,1.4985490177771938,67
ja,も,1.5102254688935053,248
ja,たち,1.513833625332483,110
latin,asking,1.5409610018563955,104
ja,だ,1.555766844355008,102
ja,だけ,1.5637514113262296,50
ja,可能,1.5932308451695876,55
