lang,word,avg_entropy,count
latin,Chinese,0.0089125765094411,366
sign,|,0.0114273592518598,1984
latin,endoftext,0.0114273592518598,992
sign,>,0.0126582177539015,999
sign,<,0.0186921903235792,999
latin,English,0.0893998404420406,283
sign,/,0.1559992733791912,72
latin,translate,0.209332521226196,244
latin,to,0.2271068219763899,921
latin,translation,0.277951073293951,299
sign,？,0.2821356605769512,145
zh,年,0.3009006769891318,77
zh,吗,0.331838181148319,52
sign,。,0.3472381652063001,1903
sign,·,0.3944248713032721,64
sign,、,0.4009962834174717,136
zh,）,0.4107574857777545,71
sign,#,0.4456304743411546,53
sign,，,0.4458449198751293,2228
zh,和,0.4483707342661106,310
zh,”,0.4860087864307826,193
latin,of,0.5609173862502603,590
sign,！,0.5632245411603328,102
latin,by,0.5843302044052204,60
latin,The,0.6035978893357514,1048
zh,时,0.6188932211973287,58
latin,user,0.6349665649734627,1022
zh,她,0.637657645650001,81
sign,"""",0.6435914815041494,337
zh,上,0.6906210965932469,115
latin,it,0.6966239341706925,115
latin,on,0.7101829278164242,111
zh,我们,0.7235912211651558,232
zh,如果,0.7425645096930411,53
latin,for,0.7453684982147639,266
zh,—,0.7490508085382837,56
sign,.,0.7727139431652923,1246
latin,wants,0.7744566884496129,487
zh,他们,0.7863293203026138,181
zh,他,0.7911079248627058,209
zh,的,0.7953707415859336,1989
zh,中,0.811452409513168,124
latin,from,0.8238441924968356,340
latin,but,0.8585625807713838,65
zh,使用,0.8645614044796309,54
latin,or,0.865465786387526,104
zh,知道,0.872425265847282,55
latin,me,0.8751151586243106,235
zh,开始,0.8769086246269152,51
zh,什么,0.8778638369312474,51
zh,需要,0.878835899011313,69
latin,an,0.8803752294980322,59
zh,说,0.8900042422906016,66
zh,了,0.8995728555804321,631
latin,They,0.90431908027762,68
latin,a,0.9074102285156224,1236
latin,in,0.9174515253413558,199
latin,and,0.9295087559699284,540
latin,at,0.9321908430170152,50
latin,the,0.9338618092727056,937
zh,但,0.9350771405837602,180
latin,is,0.9366861076090844,707
zh,（,0.936966773485732,71
latin,with,0.942988120110267,123
latin,something,0.9498191835899308,61
zh,人,0.9568617469454302,79
sign,",",0.9578700618413156,514
zh,一些,0.9594632006144332,67
latin,about,0.961326098088236,329
zh,现在,0.9698624660289196,66
zh,我,0.975583283889788,726
zh,这些,0.9858785366305888,67
zh,到,0.9910151696349594,93
zh,它,0.9993669698190576,159
latin,they,1.0067667593835463,224
zh,因为,1.0104696810493867,75
latin,given,1.0118548622889112,129
zh,你,1.0256122093546252,257
zh,被,1.030684360664738,121
latin,have,1.0316029043363717,60
zh,不是,1.0412439447162407,56
zh,是,1.0427145052619624,388
latin,where,1.0447898720832247,76
zh,可以,1.0497266081010186,86
zh,并,1.0635110245723474,95
latin,their,1.0770665136138675,238
zh,与,1.0808663788265076,69
zh,“,1.0919102431684538,191
zh,所以,1.098309637609216,72
zh,从,1.1025597749380829,86
zh,将,1.1073329038366124,135
latin,not,1.1145078877080128,70
latin,phrase,1.116855455401503,81
zh,为,1.1271486450319312,56
zh,而,1.1300339301427205,54
zh,更,1.1418246237797216,71
latin,that,1.1427598896228472,236
zh,一个,1.1508712186282288,220
zh,可能,1.153083112408453,81
latin,into,1.1635918528987927,101
