lang,word,avg_entropy,count
latin,endoftext,0.0001438239558137,987
sign,|,0.0001438239558137,1974
latin,them,0.0001644857994084,63
latin,know,0.0001678614732348,55
latin,had,0.0001758333273282,96
latin,out,0.0001774703074955,112
latin,way,0.0001864029969908,60
latin,his,0.0002293495981265,110
latin,about,0.0003255495369581,76
latin,be,0.0003338276395675,149
latin,going,0.0003915863183248,67
latin,her,0.0003985988407589,57
latin,were,0.0004068761464363,70
latin,me,0.000441685653847,94
latin,back,0.0004987604002063,59
latin,at,0.0007600228858115,126
latin,with,0.000840157132228,202
latin,one,0.0009088640392809,96
latin,up,0.001040125206901,105
latin,all,0.0010476777753914,105
sign,>,0.0011041694545163,997
latin,on,0.0014049529533349,240
latin,get,0.0014612558577835,79
latin,see,0.0015383571212532,50
latin,new,0.0015808590657252,50
latin,like,0.0016385995621288,93
latin,have,0.0017526689514341,142
latin,they,0.002029628335225,94
latin,would,0.0020747359452855,72
latin,some,0.0022870833271519,65
latin,English,0.0023878774336108,929
sign,<,0.00254718657803,997
latin,do,0.0027934052227484,75
latin,just,0.002837667504736,102
latin,a,0.0031885017888514,789
latin,was,0.0040357947060234,228
latin,been,0.0057090779868146,65
latin,my,0.0060322227371042,170
latin,when,0.0060874627380787,56
latin,you,0.0063113313898942,228
latin,it's,0.0072487233698403,59
latin,over,0.0075096877377839,62
latin,more,0.0092863712666403,78
latin,has,0.0097905408265484,89
latin,It,0.0104154279271189,73
latin,but,0.0106592144108706,149
latin,will,0.010697884645914,58
latin,what,0.0118227360687682,72
latin,So,0.0121412395728839,69
latin,we,0.0123452348277112,109
latin,there,0.0136570799810026,71
latin,that,0.0147488058258554,395
latin,so,0.0149673658640549,110
latin,this,0.016883171167406,172
latin,it,0.017135501712231,310
latin,he,0.0173762573126339,80
latin,by,0.0181067341747724,89
latin,in,0.0183798005877393,434
latin,as,0.0187735493732729,181
latin,than,0.0211309797004097,57
latin,is,0.0221184278395888,359
sign,",",0.0260612560340601,1820
latin,And,0.0265951489768162,63
latin,I,0.0266638788266874,484
latin,are,0.0279427109713756,139
latin,an,0.0301148176190018,95
latin,The,0.0347549250201346,190
latin,of,0.035587033319519,722
latin,time,0.0359708889940577,64
latin,can,0.0361345080327182,84
sign,/,0.0372685222287086,154
latin,or,0.039559346076979,75
latin,to,0.0416770555985463,1910
latin,which,0.0454162463027894,52
latin,not,0.047734746492212,106
sign,!,0.051844795058334,101
latin,Chinese,0.0563253431909958,1027
latin,if,0.0584942707359841,58
zh,?,0.068237671515382,161
latin,for,0.0700510283952252,290
sign,),0.0755498908097601,52
latin,into,0.0856654837019891,75
sign,(,0.0876874657291477,54
latin,their,0.0899862147663928,57
latin,I'm,0.0925956424634521,74
latin,and,0.1009742137789226,1740
sign,-,0.1119613771222201,59
sign,:,0.1141082377106432,74
sign,"""",0.1150788525250886,2350
zh,）,0.1309836673507599,73
zh,年,0.1405523422890965,71
sign,#,0.140788859116275,130
zh,1,0.1447144745028591,62
sign,。,0.1798655971630004,1965
sign,·,0.1862882103130687,90
latin,s,0.1873408446271393,60
latin,the,0.1919089254977789,2514
zh,’,0.2221416230437656,150
sign,？,0.2419923340323337,166
zh,和,0.2445667075279554,298
